Author,Reference,Extractor_1,duplicate,preDM_def,combined_def,n_def,subgroup,mort_report,cardiomort_report,CVD_report,CHD_report,stroke_report,HF_report,CKD_report,cohort_name,country,year_pub,years_study,mean_followup,multivar_adjust,var_adjust,n_participants,n_females,mean_age_1,mean_age_F,mean_age_M,FSG_unit,mean_FSG,mean_FSG_F,mean_FSG_M,percent_HBA1C,percent_HBA1C_F,percent_HBA1C_M,percent_CVD,percent_CVD_M,percent_CVD_F,mean_GFR,mean_GFR_F,mean_GFR_M,outcome_type,n_mort,n_mort_F,n_mort_M,HR_mort_F,LCI_mort_F,UCI_mort_F,HR_mort_M,LCI_mort_M,UCI_mort_M,n_cardiomort,n_cardiomort_F,HR_cardiomort_F,LCI_cardiomort_F,UCI_cardiomort_F,HR_cardiomort_M,LCI_cardiomort_M,UCI_cardiomort_M,n_stroke,n_stroke_F,HR_stroke_F,LCI_stroke_F,UCI_stroke_F,HR_stroke_M,LCI_stroke_M,UCI_stroke_M,n_iscstroke,n_iscstroke_F,HR_iscstroke_F,LCI_iscstroke_F,UCI_iscstroke_F,HR_iscstroke_M,LCI_iscstroke_M,UCI_iscstroke_M,n_hemstroke,n_hemstroke_F,HR_hemstroke_F,LCI_hemstroke_F,UCI_hemstroke_F,HR_hemstroke_M,LCI_hemstroke_M,UCI_hemstroke_M,CVD_def,n_CVD,n_CVD_F,HR_CVD_F,LCI_CVD_F,UCI_CVD_F,HR_CVD_M,LCI_CVD_M,UCI_CVD_M,CHD_def,n_CHD,n_CHD_F,HR_CHD_F,LCI_CHD_F,UCI_CHD_F,HR_CHD_M,LCI_CHD_M,UCI_CHD_M,CKD_def,n_CKD,n_CKD_F,HR_CKD_F,LCI_CKD_F,UCI_CKD_F,HR_CKD_M,LCI_CKD_M,UCI_CKD_M,n_HF,n_HF_F,HR_HF_F,LCI_HF_F,UCI_HF_F,HR_HF_M,LCI_HF_M,UCI_HF_M
"Mehrabani-Zeinabad et al., 2023",,James,33,5,ADA FPG + OGTT 2hPG,1,PreDM & Obese - OBESITY DEFINED BY WC,1,0,1,1,1,0,0,Isfahan Cohort Study,Iran,2023,2001-2017,11.25,1,"Values are adjusted for age, SBP, TG, sex, smoking status, history of heart disease, history of high blood pressure and history of diabetes.",5409,2774,50.98153818,NA,NA,1,90.42560362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,375,NA,,0.7,0.42,1.18,1.16,0.56,2.38,NA,NA,NA,NA,NA,NA,NA,NA,375,NA,1.5,0.6,3.7,1.84,0.65,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s fatal and non-fatal MI, fatal and non-fatal stroke, sudden cardiac death and unstable angina, based on modifed criteria of WHO Expert Committe",375,NA,0.83,0.54,1.29,1.32,0.8,2.16,"IHD included the occurrence of fatal and non-fatal MI, sudden cardiac death (SCD) and unstable angina",375,NA,0.7,0.42,1.15,1.2,0.68,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tian et al., 2024",,James,34,5,ADA FPG + OGTT 2hPG,1,PreDM,1,1,0,0,0,0,0,China Chronic Disease and Risk Factors Surveillance,China,2024,2013-2014,6,1,"adjusted for age (5-year group), sex (male or female), residence (urban or rural), education (junior high school and below, high school, college and above), household income ( <¥20,000/year, $¥20,000/year, or not answer/did not know), smoking (never smoked, past smoker, or active smoker), alcohol consumption (excessive, rare/occasional, or nondrinker), physical activity ( <150 min/week or $150 min/week), red meat intake ( <100 g/day or $100 g/day), vegetable and fruit intake ( <400 g/day or $400 g/day), BMI ( <18.5, 18.5–23.9, 24–27.9, $28 kg/m2), hypertension (yes or no), dyslipidemia (yes or no), and self-reported CVD (yes or no).",135405,83576,51.83422695,NA,NA,1,5.758530335,NA,NA,5.493136147,NA,NA,2.82,NA,NA,NA,NA,NA,1,2300,971,,1.02,0.93,1.12,1.12,1.03,1.21,995,443,1.03,0.89,1.19,1.15,1.01,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barzilay et al., 2001",,James,35,0,NA,0,IFG,0,0,0,0,1,0,0,The Cardiovascular Health Study,USA,2001,1999,NA,1,age- and race-adjusted.,5712,3293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,747,0.82,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barrett-Conner & Ferrara, 1998",,James,36,5,WHO FPG + OGTT 2hPG ,1,IPH,0,0,1,1,0,0,0,The Rancho Bernardo Study,USA,1998,1984-1987,7,1,"s adjustment for age, WHR, triglycerides, HDL cholesterol, hypertension, and current smoking. RH, relative hazards of IPH versus referent group",1858,1089,69.95236814,69.91322314,70.00780234,0,7.324162002,5.314628099,5.504109233,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.4,4.7,0.7,0.3,1.6,NA,NA,NA,2.9,1.3,6.4,0.6,0.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hadaegh et al., 2009",,James,37,5,WHO FPG + OGTT 2hPG ,1,IFG/IGT,0,0,1,0,0,0,0,TLGS,Iran,2009,1999-2001,7.6,1,"adjusted for age, systolic blood pressure, diastolic blood pressure, total cholesterol, HDL-cholesterol, smoking and hypertension medication.",4025,2273,53.78685714,52.81777387,55.044121,0,5.736255901,5.845556533,5.63841895,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVD was defined as any CHD event, stroke (a new neurological deficit that lasted ≥24 h), or cerebrovascular death",61,25,1.07,0.64,1.77,0.99,0.66,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Imano et al., 2018",,James,38,2,NA,0,PreDM,0,0,0,0,1,0,0,Circulatory Risk in Communities Study (CIRCS),Japan,2018,1963-2018,14.1,1,"adjusted for age, sex (for total subjects), systolic blood pressure, antihypertensive medication use, atrial fibrillation, serum triglycerides, sex-specific quartiles of body mass index, quartiles of serum high-density lipoprotein-cholesterol, time since the last meal and community",7198,4631,58.39974993,57.85871302,59.37580834,0,6.185162545,5.942928093,6.622165952,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,17,1.66,0.98,2.82,1.9,1.24,2.9,33,11,2.17,1.12,4.24,1.82,1.09,3.02,15,6,1.24,0.52,2.98,2.03,0.9,4.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De Jong et al., 2020",,James,39,3,NA,0,PreDM,0,0,0,1,0,0,0,UK Biobank,UK,2020,2006-2010,9,1,"*The main effects model is adjusted for age, smoking (never, former, current), BMI, systolic blood pressure, lipid-lowering medication, cholesterol, antihypertensive medication, and the Townsend social deprivation score. **The full interaction model is additionally adjusted for interaction terms between each variable and sex",471399,263024,56.22960337,56.2,56.3,NA,NA,NA,NA,5.46016135,5.4,5.5,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myocardial Infarcation,1129,390,1.25,1.11,1.4,1.17,1.08,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramezankhani et al., 2022",,James,40,5,ADA FPG + OGTT 2hPG,1,PreDM,0,0,0,0,1,0,0,TLGS,Iran,2022,1999-2018,17.9,1,"adjusted for age, BMI, hypertension, T2D, smoking status, TC, educational level, history of CHD, FH-CVD and lipid lowering drugs.",5349,2903,53.95174799,52.9,55.2,0,5.854271827,5.8,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,0.8,1.98,1.26,0.83,1.9,NA,NA,1.66,1.01,2.7,1.18,0.74,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levitzky et al., 2008",,James,41,0,NA,1,100-125 mg/dL,0,0,1,1,0,0,0,Framingham Offspring Cohort,USA ,2008,1983-1998,6.3,1,"age, systolic blood pressure, hypertension treatment, total cholesterol/HDL ratio, current smoking, and BMI.",4058,2163,48.46697881,48,49,0,5.240093642,5.1,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cardiovascular disease was defined as any CHD event, stroke, transient ischemic attack (TIA), intermittent claudication, congestive heart failure, or CVD death.",NA,NA,1.4,0.9,2.1,1.1,0.5,1.4,"Coronary heart disease included cases of myocardial infarction, stable and unstable angina pectoris, and CHD death",NA,NA,1.7,1,3,0.9,0.6,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levitzky et al., 2008",,James,41,1,NA,1,110-125 mg/dL,0,0,1,1,0,0,0,Framingham Offspring Cohort,USA ,2008,1983-1998,6.3,1,"age, systolic blood pressure, hypertension treatment, total cholesterol/HDL ratio, current smoking, and BMI.",4058,2163,48.46697881,48,49,0,5.240093642,5.1,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cardiovascular disease was defined as any CHD event, stroke, transient ischemic attack (TIA), intermittent claudication, congestive heart failure, or CVD death.",49,18,2.1,1.2,3.6,1,0.7,1.5,"Coronary heart disease included cases of myocardial infarction, stable and unstable angina pectoris, and CHD death",NA,NA,2.2,1.1,4.4,0.9,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yi et al., 2017",,James,42,0,NA,0,100-125 mg/dL,1,0,0,0,0,0,0,KOMERIT Study,South Korea,2017,2001-2004,NA,1,"age at baseline, sex (if applicable), smoking status, alcohol use, physical activity, body mass index, systolic blood pressure, and total cholesterol",12845017,7090089,44,45.5,42.9,1,93.4,91.7,94.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,112683,56842,,1.19,1.16,1.22,1.2,1.18,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djupsjo et al., 2022",,James,43,2,NA,0,7.8-11.1 mmol/L,1,1,0,1,1,1,0,NA,Sweden,2022,2006-2016,3.9,1,"age, sex, date, hospital, and all covariates listed in Table 1, and fnally adjusted for WBC",618694,319543,47.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4,NA,NA,0,9858,4387,,1.27,1.22,1.31,1.14,1.11,1.18,2335,951,1.39,1.28,1.5,1.17,1.1,1.25,3748,1599,1.29,1.22,1.37,1.17,1.11,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myocardial Infarcation,3030,910,1.46,1.35,1.58,1.36,1.28,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1907,754,1.19,1.1,1.3,1.05,0.99,1.13
"Yoshida et al., 2023",,James,44,5,ADA FPG + ADA HbA1c,1,PreDM,0,0,1,1,1,0,0,"Atherosclerosis Risk in Communities, Multi-Ethnic Study of Atherosclerosis, Tehran Lipid and Glucose Study",USA,2023,2022-2023,18.6,1,"Adjusted for age, race/ethnicity, health insurance status, central obesity, hypertension, hypercholesterolemia, current smoking status, antihypertensive medication use, lipid-lowering medication use, and menopause status (women only).",18745,10508,57.3705148,57.06440807,57.76101736,1,99.77259536,98.09795394,101.9089474,5.530642838,5.525970689,5.536603132,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493,230,1.13,0.99,1.48,1.06,0.86,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a MI, CHD death, cardiac procedure (see as mentioned earlier), or ischemic stroke",1646,651,1.18,1.01,1.34,1.08,1,1.28,"myocardial infarction (MI), CHD death, or cardiac procedure (percutaneous coronary interventions, bypass surgery, or coronary revascularization).",1273,439,1.2,1.04,1.37,1.16,1.03,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ramezankhani et al., 2023",,James,45,5,ADA FPG + OGTT 2hPG,1,PreDM,0,0,0,1,0,0,0,TLGS,Iran,2023,1999-2018,17.9,1,"r age, smoking status, BMI, SBP, education, TC, antihypertensive and lipid-lowering drugs, and FH-CVD",7518,4141,46.68479915,46.02,47.5,0,5.579573025,5.62,5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cases of defnite myocardial infarction (MI) diagnosed through electrocardiogram (ECG) and biomarkers, probable MI diagnosed by positive ECG fndings along with cardiac symptoms or signs but with biomarkers showing negative or inconclusive results, unstable angina pectoris, angiographic-proven CHD, and CHD-related death. Nonfatal MI and CHD-related death (including fatal MI) were categorized as hard CHD",NA,NA,1.34,1.05,1.71,1.13,0.94,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith et al., 2002",,James,46,5,WHO FPG + OGTT 2hPG ,0,"OGTT 2hPG (+), FPG (-)",0,0,1,0,0,0,0,The Cardiovascular Health Study,USA,2002,1989-1999,8.5,1,"Age-, race-, and sex- (where appropriate) adjusted",4014,2415.45,73.16230693,NA,NA,1,103.7727952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,96,1.13,0.87,1.45,1.34,1.04,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smith et al., 2002",,James,46,5,WHO FPG + OGTT 2hPG ,0,"OGTT 2hPG (+), FPG (+)",0,0,1,0,0,0,0,The Cardiovascular Health Study,USA,2002,1989-1999,8.5,1,"Age-, race-, and sex- (where appropriate) adjusted",4014,2415.45,73.16230693,NA,NA,1,103.7727952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,26,1.1,0.52,2.37,1.54,0.92,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liu et al., 2021",,James,47,5,ADA FPG + OGTT 2hPG + ADA HbA1c,1,PreDM,0,0,1,0,0,0,0,NA,China,2021,2011-2017,59.13,1,"The adjusted model included age, sex, hypertension, current smoking, systolic blood pressure, creatinine, low-density lipoprotein cholesterol, glycosylated hemoglobin, high sensitivity C-reactive protein, and baseline statin use",8062,2278,57.8,NA,NA,0,5.86,NA,NA,6.32,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The MACEs included cardiovascular death, non-fatal myocardial infarction (MI), and non-fatal stroke.",NA,NA,NA,NA,NA,0.92,0.56,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chen et al., 2024",,James,48,5,ADA FPG + OGTT 2hPG + ADA HbA1c,1,PreDM,1,1,0,0,0,0,0,NHANES 1999-2018,USA,2024,1999-2018,8.6,1,"Models were adjusted for age, sex, race/ethnicity, education level, family income-poverty ratio, drinking status, smoking status, BMI, eGFR, CVD, hypertension, hyperlipidemia, cancer, COPD, depression, anemia, physical activity, HEI scores, use of hypotensive drug, use of lipid-lowering drug except for the corresponding subgroup variables. Diabetes duration, HbA1c and use of antidiabetic drug were adjusted additionally for diabetes subjects",20270,9685,54.35932906,NA,NA,NA,NA,NA,NA,6.186935372,NA,NA,15.5648742,NA,NA,NA,NA,NA,0,1974,NA,,1.15,1.07,1.24,1.08,0.99,1.17,616,NA,1.31,1.12,1.53,1.15,1.01,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Song et al., 2022",,James,49,1,NA,0,6.1-7.0 mmol/L,1,0,0,0,0,0,0,Xin Zheng Cohort,China,2022,2011-2019,5.96,1,"adjusted for sex, smoking, alcohol consumption, physical activity, history of CHD, COPD, cancer and stroke, SBP and TC at baseline when stratified by age, adjusted for age, smoking, alcohol consumption, physical activity, history of CHD, COPD, cancer and stroke, SBP and TC at baseline when stratified by sex",59874,31507,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,712,329,,0.95,0.85,1.07,0.99,0.89,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Han et al., 2023",,James,50,0,NA,0,Intermediate CVH Metrics,0,0,1,0,0,0,0,NHIS-NSC,South Korea,2023,2006-2008,11.9,1,"The analyses were adjusted for sex, age, index year, household income, fasting glucose level, use of antiplatelet drugs, and history of diseases (cancer, myocardial infarction, stroke, or chronic kidney disease).",7948,4385,72.13710367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACE was defined as a composite of hospitalisation for myocardial infarction (ICD-10 codes I21I22), stroke (ICD-10 codes I60  I64), and cardiovascular death (ICD-10 codes I00–I99), using ICD-10 codes.",NA,NA,1,0.85,1.17,0.98,0.83,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Han et al., 2023",,James,50,0,NA,0,Ideal CVH Metrics,0,0,1,0,0,0,0,NHIS-NSC,South Korea,2023,2006-2008,11.9,1,"The analyses were adjusted for sex, age, index year, household income, fasting glucose level, use of antiplatelet drugs, and history of diseases (cancer, myocardial infarction, stroke, or chronic kidney disease).",7948,4385,72.13710367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ACE was defined as a composite of hospitalisation for myocardial infarction (ICD-10 codes I21I22), stroke (ICD-10 codes I60  I64), and cardiovascular death (ICD-10 codes I00–I99), using ICD-10 codes.",NA,NA,0.98,0.86,1.13,0.77,0.66,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carpiuc et al., 2010",,James,51,5,ADA FPG & OGTT 2hPG,1,IGT,0,0,0,1,0,0,0,Rancho Bernardo Study,USA,2010,1972-1974,13.2,1,"Model 1, adjusted for age only; model 2, model 1 þ WHR, hypertension, triglycerides, HDL-C; model 3, model 2 þ physical activity, current smoking, alcohol intake, education, and current estrogen (women).",2006,1184,70.66390828,70.5,70.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,NA,4.59,1.65,NA,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Song et al., 2023",,James,52,5,ADA FPG or WHO FPG or ADA HbA1c or IEC HbA1c,1,PreDM,0,0,1,0,0,0,0,"Fuwai Hospital, Beijing",China,2023,2013,6.1,1,"Adjusted for age, sex, medical history of hypertension, hyperlipidemia, smoking status, alcoholic consumption, body mass index, heart rate, total cholesterol, LDL, HDL, hsCRP, D-Dimer and triple vessel disease;",1532,488,59.21001958,NA,NA,0,5.892343342,NA,NA,6.401879896,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MACE, which was a composite endpoint of all-cause death, non-fatal myocardial infarction and repeated ischemia-driven revascularization",58,11,2.213,0.731,6.696,1.597,0.959,2.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golabi et al., 2023",,James,53,5,ADA FPG or ADA HbA1c,1,PreDM,1,0,0,0,0,0,0,NHANES 1988-1994,USA,2023,1988-2019,26.7,1,"Models were adjusted for age, sex, race, income, education, smoking, physical activity, and healthy eating.",11231,6296.0986,43.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,NA,NA,NA,NA,NA,0,NA,NA,,4.59,1.39,15.19,1.12,0.35,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gordon-Dseagu et al., 2015",,James,54,3,NA,0,PreDM,1,0,1,0,0,0,0,Health Survey for England (HSE),UK,2015,2003-2013,7,1,"Age, sex, smoking, SES, BMI",22106,11908,52,NA,NA,NA,NA,NA,NA,5.52,NA,NA,2.28897132,NA,NA,NA,NA,NA,0,NA,NA,,0.99,0.83,1.18,0.92,0.77,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cardiovascular disease (390–459; I00-I99),NA,NA,1.06,0.76,1.46,1.08,0.81,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liu et al., 2017",,James,55,0,NA,0,IFG,0,1,0,0,0,0,0,ChinaMUCA & China Cardiovascular Health Study,China,2017,1998-2008,7.8,1,"Adjusted for age (every 10 years), gender, body mass index, smoking status (never smoker, former smoker, current smoker), drinking status (never drinker, drinker), work-related physical activity, education, hypertension status (yes vs. no), high triglyceride (yes vs. no), region (south, north), area (urban, rural), and family history of atherosclerotic cardiovascular disease (ASCVD); gender, region and area were not adjusted for in corresponding subgroup analyses.",18610,9681,48.44898442,NA,NA,1,94.92944653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASCVD is defined as the first occur-rence of non-fatal myocardial infarction (MI), CHDdeath, or fatal or non-fatal stroke.",120,NA,1.22,0.86,1.73,0.88,0.65,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
